gene_id,"Dharia
Control","Dharia
Compact","PTT1
Control","PTT1
Compact",category,Dharia_log2FC,Dharia_sig,PTT1_sig
Os01g0128300,0.8890259703922447,-0.34916175438846164,0.9429141739687071,-1.4827783899724902,Ethylene signalling gene,-0.611102853009479,False,True
Os01g0169800,0.4708597462441034,-0.6864641728944264,1.3891716768882105,-1.1735672502378833,Ethylene signalling gene,-0.42728713276083,False,True
Os01g0178500,-0.7059687238193708,0.344535477251962,-1.1072248486088252,1.4686580951762653,Auxin responsive gene,0.200621347844371,False,True
Os01g0190300,-1.1115939236735242,0.6016651443154793,-0.8109493786341363,1.32087815799219,Auxin responsive gene,1.09419847528608,True,True
Os01g0192900,0.54907590306543,-0.3118189228446052,1.2179977057082183,-1.4552546859290398,Ethylene signalling gene,-0.46837002791614,False,True
Os01g0221100,-0.9166657157815837,0.06941543087784548,-0.7587430195078376,1.605993304411575,Jasmonate responsive gene,0.905606398530876,False,True
Os01g0231000,1.5240239851835689,-0.8347773624230576,0.264871230957025,-0.9541178537175095,Auxin responsive gene,-0.447747936236279,True,True
Os01g0235700,0.07579983979565891,-0.5014724754779345,-1.1384928693373026,1.5641655050195618,Jasmonate responsive gene,-0.0973752269427629,False,True
Os01g0248900,-0.9636415333405534,-0.44077708541685584,1.6745556282991438,-0.2701370095417289,Cell wall responsive gene,0.360785714586106,False,True
Os01g0273800,-0.18286251761072603,-0.28663494862540023,1.6084640912760968,-1.1389666250399706,Auxin responsive gene,-0.0182769462543491,False,True
Os01g0286900,-0.7022780017458505,-0.7805677752096477,-0.20676057411025087,1.689606351065749,Auxin responsive gene,0.0913240322699459,False,True
Os01g0580500,1.111388662332553,0.7627348191886499,-0.4750652987605837,-1.3990581827606146,Ethylene signalling gene,-0.543164099205068,False,True
Os01g0643300,1.3763989017206213,-0.8743803367603034,0.5284051676831665,-1.030423732643484,Auxin responsive gene,-0.737907102812123,False,False
Os01g0656200,0.025370624298695302,-0.3256864713519266,1.5372754113057459,-1.2369595642525164,ABA responsive gene,-0.152349868984554,False,True
Os01g0663300,0.007678093545383665,-0.07800810847343025,1.447854397668399,-1.3775243827403505,Cell wall responsive gene,-0.133372813175783,False,True
Os01g0741900,-1.0265474806017885,-0.9588718583467746,1.1597726121115177,0.8256467268370598,Auxin responsive gene,0.0488974592955548,False,False
Os01g0802700,0.5560519968816681,1.2222275989877307,-0.33424038700787523,-1.4440392088615257,Auxin responsive gene,0.374962443172959,False,False
Os01g0846300,-0.6535000118444202,-0.21947677224173948,-0.8172507052552832,1.6902274893414297,ABA responsive gene,0.128896875591746,False,True
Os01g0853400,-0.7003499532672953,-0.10102360981887343,-0.8599091845402139,1.6612827476263772,Jasmonate responsive gene,0.170183817081069,False,True
Os01g0856500,0.9640504746014065,0.3334999081094954,0.38019662455477543,-1.6777470072656715,Auxin responsive gene,-0.331703826206192,False,True
Os01g0867300,-0.4488393017740447,0.8530382906862489,-1.4246338588989254,1.0204348699867267,ABA responsive gene,0.742089342611465,True,True
Os02g0149800,-1.4058936409759248,0.6545106421562249,-0.4344907899886719,1.185873788808372,ABA responsive gene,0.365136245331335,True,True
Os02g0512000,-0.9153665780103655,-0.5692812375726658,-0.1893233785383471,1.6739711941213784,Auxin responsive gene,0.196670719164284,False,True
Os02g0532300,0.41044028987678244,-0.23197279873905158,1.2822257081508843,-1.460693199288611,Mechano sensing gene,-0.391208010130825,False,True
Os02g0704000,0.17448811021973298,0.468075840237627,-1.6524496378399873,1.0098856873826265,ABA responsive gene,0.434426929609348,False,True
Os02g0735200,0.036293715624355606,-1.0419643557826002,1.599946601865652,-0.5942759617074225,Mechano sensing gene,-0.25211638942695,False,True
Os02g0743400,1.0815532659482914,0.2943217356844655,0.25998159878054217,-1.6358566004133068,Auxin responsive gene,-0.493622910675655,False,True
Os02g0766700,-0.34627445171547233,-0.19112543900499454,-1.0912937585555404,1.628693649276014,ABA responsive gene,0.102887356464511,False,True
Os02g0771600,-1.4512537944096624,0.5294318174311945,-0.3100256160000083,1.2318475929784805,Ethylene signalling gene,1.94258344854406,False,False
Os02g0799000,-0.7156410591215606,-1.2444212986527141,1.0758207471528076,0.8842416106214621,ABA responsive gene,-0.204834832286303,False,False
Os02g0805100,-0.8971651702940964,1.6007100684921,0.08716616958759568,-0.7907110677855771,Auxin responsive gene,0.108680540033765,False,False
Os02g0817600,0.5303227587042976,1.190212937614955,-1.5013721273451046,-0.21916356897412728,Auxin responsive gene,0.13040159627266,False,False
Os03g0157300,0.93001732003573,0.20564299210972564,0.5384963264672437,-1.6741566386127082,Mechano sensing gene,-0.467365461139168,False,True
Os03g0162000,0.19643927274536213,0.3790089086708637,-1.6390555738246322,1.063607392408402,Auxin responsive gene,0.0529765981840746,False,True
Os03g0179900,0.8035190196013954,0.7064622244391235,0.17108891881364247,-1.6810701628541613,Jasmonate responsive gene,0.0439743632990508,False,False
Os03g0179950,1.248612374718318,-1.2461731582262368,0.6651198782502115,-0.6675590947422948,Jasmonate responsive gene,-0.965527827631919,False,False
Os03g0180800,-0.6451388262482203,-0.016547240747299064,-0.9661935616033042,1.6278796285988228,Jasmonate responsive gene,0.733158449674257,False,False
Os03g0180900,-0.9827833696322441,-1.0049935832702181,1.1496063924321456,0.8381705604703177,Jasmonate responsive gene,0.161639511467583,False,False
Os03g0181100,0.8876364057896147,0.695061884080838,0.06787249411824166,-1.6505707839886963,Jasmonate responsive gene,0.226449281525319,False,False
Os03g0225900,-1.059014086760679,-0.8125510209191589,0.4526303902809855,1.4189347173988522,Jasmonate responsive gene,1.15127153335517,False,True
Os03g0275900,-0.32691338819183835,-1.031775411330471,1.6554462157161012,-0.29675741619378143,Mechano sensing gene,-0.198633957507734,False,True
Os03g0283000,-0.8114881023883952,-0.014934379980134261,-0.8114881023883952,1.6379105847569249,Mechano sensing gene,4.61195911180779,False,True
Os03g0283100,-1.2466124206945084,-0.7177560293571373,0.9556130836079572,1.008755366443691,Mechano sensing gene,0.309280416105345,False,False
Os03g0284100,-0.9111282366120117,-1.0386687454786683,0.666549307546279,1.2832476745444084,Mechano sensing gene,-0.0643091589194212,False,True
Os03g0294200,1.4832613642662387,0.07896931014057128,-0.24566354978359872,-1.3165671246232382,Mechano sensing gene,-0.179122300857428,False,False
Os03g0296800,-0.830102409462985,-1.1561198890794218,0.9633010648602817,1.0229212336821345,Mechano sensing gene,-0.125207665670578,False,False
Os03g0297600,-0.7464727616298397,-0.023755533165877547,1.639225043159626,-0.8689967483639089,ABA responsive gene,0.236537272305803,False,True
Os03g0298700,1.6249240132906229,0.019421760719904955,-0.8826221797591941,-0.761723594251329,Mechano sensing gene,-0.609438771060903,False,False
Os03g0300300,0.7828510730352717,0.3744822072602032,0.5564979102706731,-1.7138311905661607,Mechano sensing gene,-0.168782268303526,False,True
Os03g0301200,0.8197447971487817,0.17152091642104686,0.6891234863776866,-1.6803891999475151,Cell wall responsive gene,-0.239569112969165,False,True
Os03g0302900,0.7043990301264204,0.5050867871920699,0.5171486575390375,-1.7266344748575255,Cell wall responsive gene,-0.179608116399011,False,True
Os03g0305400,0.5004598902397634,1.3935369794978325,-1.0306121710170986,-0.8633846987204978,Mechano sensing gene,1.37739368528892,False,False
Os03g0313600,0.03329235280039354,-0.2969646749930148,1.523946439469774,-1.2602741172771526,Mechano sensing gene,-0.139833554705788,False,True
Os03g0319400,1.2777831129235442,-0.03541113932478627,0.27163883004524536,-1.5140108036440123,Mechano sensing gene,-0.796664402583004,True,True
Os03g0324300,-0.5933362740855782,-0.05190015030302759,-0.9883153136898103,1.6335517380784055,Ethylene signalling gene,0.210056209233845,False,True
Os03g0332100,0.7373404633455425,1.2295462288284087,-1.0549397878226578,-0.9119469043512921,Cell wall responsive gene,0.638686173175898,False,False
Os03g0336400,-0.12043603794256207,1.5161106747212927,-0.10078215473732346,-1.2948924820414034,Cell wall responsive gene,1.4498354596228,False,True
Os03g0402800,-0.050474689332577184,-1.0567811715113513,-0.5111861591235787,1.6184420199674623,Jasmonate responsive gene,-0.122160567320173,False,True
Os03g0438100,0.7394936467562973,-0.537190792916077,1.1526651418165803,-1.3549679956568097,Jasmonate responsive gene,-0.491884495105893,False,True
Os03g0610900,0.8144202861274416,0.8446252502570994,-1.6191783064725682,-0.03986722991197455,ABA responsive gene,-0.0077325574535936,False,True
Os03g0633500,0.6066476571557945,-0.06934243605037839,1.0509726764732001,-1.588277897578614,Auxin responsive gene,-0.610925505104081,False,True
Os03g0633800,0.9433209084056976,0.37193778745957673,0.36873687021265045,-1.6839955660779227,Auxin responsive gene,-0.451112848676023,False,True
Os03g0645900,0.011156477662194707,-0.01825228975720472,-1.4105803080211778,1.4176761201161823,ABA responsive gene,0.0817271137334817,False,True
Os03g0707600,1.1395594649373821,0.26933162871684896,0.20009235806000764,-1.6089834517142623,Jasmonate responsive gene,-0.178581639339881,False,True
Os03g0727600,0.7419603055537619,1.0210373942214879,-0.22846856732886348,-1.5345291324463863,Ethylene signalling gene,0.227042505467542,False,True
Os03g0741100,-0.4825853718650745,0.35894649826813796,-1.2855159863072116,1.4091548599041508,Jasmonate responsive gene,0.67551753006697,False,True
Os03g0742900,0.9442936398654145,-0.04053193578082324,0.7096427325238233,-1.613404436608412,Auxin responsive gene,-0.665828395498804,False,True
Os03g0764900,0.34639052297594863,-0.6853530274434522,1.4642509312981598,-1.1252884268306573,Mechano sensing gene,-0.691305329115082,False,True
Os03g0764800,-0.17248119781013754,-1.3627210894348698,1.4512744711080328,0.08392781613697459,ABA responsive gene,-0.167233900027037,False,True
Os03g0767000,1.3704273740705841,-0.593561248611203,0.468262147978867,-1.2451282734382554,Jasmonate responsive gene,-0.988791951776123,False,True
Os03g0810800,1.0664553796697334,-0.531166403751033,0.8362730884089224,-1.3715620643276345,ABA responsive gene,-0.503823006472594,False,True
Os03g0821300,-0.9177705103767495,-0.5146908572036502,-0.24990021494675838,1.6823615825271736,ABA responsive gene,0.123921879909017,False,True
Os03g0822000,0.8179645456548279,0.2427242197792398,0.6335904579474332,-1.6942792233814978,Cell wall responsive gene,-0.627229096642349,False,True
Os03g0856700,-0.7853378847858867,1.2428221799530719,-1.1598682119740233,0.7023839168068315,Cell wall responsive gene,1.06371974153131,True,True
Os04g0397000,0.7970994733450449,-0.1293912711087476,0.9161405402477935,-1.5838487424840781,Jasmonate responsive gene,-0.380348729762597,False,True
Os04g0526600,0.8805162417505203,0.8816197434816544,-0.21215986712657178,-1.549976118105604,Mechano sensing gene,-0.106677140963978,False,False
Os04g0578000,0.5564474654861508,-0.7158268024363212,1.3377153678438414,-1.1783360308936695,Ethylene signalling gene,-0.722406165237308,False,True
Os04g0583500,1.5615220901633655,0.08124309641567018,-0.5006727617450094,-1.1420924248340207,Cell wall responsive gene,-0.97069561874196,True,True
Os04g0608300,-0.0834861683356446,0.6134579043508284,1.0533965573149433,-1.5833682933301236,Auxin responsive gene,0.422545074701583,False,True
Os04g0610400,-0.007735734766520285,1.2334355304210354,-1.542206383834874,0.3165065881803443,Ethylene signalling gene,0.466443379017825,False,False
Os04g0613600,-0.5498730134952852,-1.3379156680647688,1.1946415053335804,0.6931471762264738,Mechano sensing gene,-0.487909980637148,False,True
Os04g0653000,0.3090418948096636,-1.1862626220028154,1.466354494395392,-0.5891337672022314,Jasmonate responsive gene,-0.628575313315867,False,True
Os04g0671900,0.9234250840980134,0.44701702567421114,0.31687826771057687,-1.6873203774828014,Auxin responsive gene,-0.388705342519071,False,True
Os05g0148700,-0.9677089108320465,0.5499792386633053,-0.9473819501664005,1.3651116223351456,Mechano sensing gene,1.33270124329541,True,True
Os05g0149400,-1.0218152969380756,-0.5303146209794083,-0.08128743669649723,1.6334173546139796,Ethylene signalling gene,0.77618577445696,False,True
Os05g0210100,1.0748307336590994,0.21829361682048654,0.3436402025435749,-1.6367645530231534,Ethylene signalling gene,-0.607003874233881,False,True
Os05g0213500,-0.9904501901915992,-0.2528875311217849,-0.42286739355666886,1.6662051148700578,ABA responsive gene,0.237159847064344,False,True
Os05g0230700,1.6900055713925857,-0.26881654360232177,-0.534910553056417,-0.8862784747338722,Auxin responsive gene,-0.426377310100929,True,False
Os05g0403300,0.2780290179176443,0.27124642273501953,1.0851919543934698,-1.6344673950461315,Mechano sensing gene,-0.114774250435573,False,True
Os05g0457200,-0.05032726366188936,1.616260201904486,-0.5009229062312456,-1.0650100320113511,ABA responsive gene,0.740528096310606,False,False
Os05g0477600,0.7860390791361523,0.6526515926184573,0.26077533022114074,-1.6994660019757486,Cell wall responsive gene,-0.149470715638104,False,True
Os05g0523300,-0.7916816649721973,-0.8644800301238146,1.6200652661801938,0.0360964289158353,Auxin responsive gene,-0.0296076835835564,False,False
Os05g0563400,0.5661798577586948,-0.013263725726670877,1.0513985372581451,-1.604314669290169,Auxin responsive gene,-0.165621687748714,False,True
Os05g0572700,-0.5180537834922886,0.7337547864264605,1.1511095315506787,-1.3668105344848502,ABA responsive gene,1.36870346973936,False,False
Os05g0586200,-0.9496983118754693,-0.5021880892493382,-0.2206013516250321,1.6724877527498345,Jasmonate responsive gene,0.147577674369829,False,True
Os05g0592800,-0.10726356433630926,1.2718629944998372,-1.5022761100558881,0.3376766798923601,ABA responsive gene,0.0910173139140314,False,False
Os06g0108600,1.1897624185940283,-0.36107679101101564,0.6129665367970013,-1.4416521643800095,Cell wall responsive gene,-2.43975442003878,True,True
Os06g0115200,0.9526557124831163,-1.6618578568836484,0.553588152404241,0.15561399199632442,Ethylene signalling gene,-0.276398848813387,False,False
Os06g0130400,-0.9442497304328263,0.4104671267169282,-0.9157851649848294,1.4495677687007231,Mechano sensing gene,0.576593457452999,False,True
Os06g0166500,-0.9972760185613772,-0.5697221259530784,-0.06888454136577343,1.6358826858802253,Auxin responsive gene,0.402922648715893,False,True
Os06g0181700,1.2755502264998906,0.6663764018048451,-0.8236972353456544,-1.1182293929590796,Ethylene signalling gene,-0.3991279129669,False,False
Os06g0194000,0.9810638800812937,0.7830418128783638,-0.22314286229471544,-1.5409628306649465,Ethylene signalling gene,-0.0871905541920584,False,True
Os06g0211200,-0.7783464209757355,-1.198279030063423,0.939424443607477,1.0372010074316873,ABA responsive gene,-0.185032567938307,False,False
Os06g0216300,-1.5460629684759026,-0.203861555690237,0.7389257899882806,1.010998734177859,Jasmonate responsive gene,1.3689276376824,True,False
Os06g0232300,0.9946142829848769,0.37377948219673435,0.29936312535921117,-1.6677568905408202,Auxin responsive gene,-0.487441525527458,False,True
Os06g0335500,0.8783389484344811,-0.6703053502550673,1.0702004806538512,-1.2782340788332576,Auxin responsive gene,-0.361405766576968,False,True
Os06g0562200,-0.23921303899606813,-0.8744220061448343,1.687762209604463,-0.5741271644635616,ABA responsive gene,-0.204443200099887,False,True
Os06g0597000,0.6752439179066766,0.08690995048709589,0.892903648913108,-1.6550575173068849,Auxin responsive gene,-0.241560219557384,False,True
Os06g0614100,-1.0927800880488792,0.15238840257207426,-0.611571505832551,1.551963191309356,Mechano sensing gene,1.11016087059453,True,True
