gene_1,gene_2,r,gene_1_category,gene_2_category
Os03g0707600,Os03g0157300,0.9326524718499837,Jasmonate responsive gene,Mechano sensing gene
Os03g0742900,Os08g0420600,0.9326182579380144,Auxin responsive gene,Mechano sensing gene
Os05g0149400,Os11g0186900,0.9322404168042546,Ethyelene signalling gene,Ethyelene signalling gene
Os11g0137000,Os11g0539200,0.9320345672751345,Auxin responsive gene,Cell wall responsive gene
Os05g0210100,Os06g0614100,-0.9319873118696127,Ethyelene signalling gene,Mechano sensing gene
Os05g0213500,Os01g0856500,-0.9318175475217843,ABA repsonsive gene,Auxin responsive gene
Os06g0194000,Os01g0580500,0.9317078311691975,Ethyelene signalling gene,Ethyelene signalling gene
Os05g0563400,Os06g0614100,-0.931638937991709,Auxin responsive gene,Mechano sensing gene
Os06g0232300,Os11g0137000,0.9314969159196161,Auxin responsive gene,Auxin responsive gene
Os06g0597000,Os11g0137000,0.9310733238778773,Auxin responsive gene,Auxin responsive gene
Os03g0302900,Os03g0300300,0.9308117448819501,Cell wall responsive gene,Mechano sensing gene
Os05g0563400,Os12g0133800,0.9306901856518817,Auxin responsive gene,Auxin responsive gene
Os10g0556100,Os05g0403300,0.9302521550987878,Cell wall responsive gene,Mechano sensing gene
Os01g0856500,Os11g0137000,0.9298012271423589,Auxin responsive gene,Auxin responsive gene
Os01g0273800,Os01g0663300,0.9295178355357612,Auxin responsive gene,Cell wall responsive gene
Os05g0210100,Os03g0633500,0.9294217600214684,Ethyelene signalling gene,Auxin responsive gene
Os01g0856500,Os12g0133800,0.929405813134141,Auxin responsive gene,Auxin responsive gene
Os02g0512000,Os08g0420600,-0.9291969393346963,Auxin responsive gene,Mechano sensing gene
Os03g0707600,Os05g0477600,0.9288110252078643,Jasmonate responsive gene,Cell wall responsive gene
Os03g0633800,Os12g0133800,0.928569909112155,Auxin responsive gene,Auxin responsive gene
Os03g0633800,Os03g0707600,0.928256376147388,Auxin responsive gene,Jasmonate responsive gene
