gene_id,category,v3_Dharia_log2FC,v3_Dharia_padj,v3_Dharia_sig,v4_Dharia_log2FC,v4_Dharia_padj,v4_Dharia_sig,v3_PTT1_log2FC,v3_PTT1_padj,v3_PTT1_sig,v4_PTT1_log2FC,v4_PTT1_padj,v4_PTT1_sig,Dharia_status,PTT1_status
Os01g0128300,Ethyelene signalling gene,-0.611102853009479,0.467264414388531,False,-0.446084480850457,0.909133324282186,False,-1.18511800791791,0.0003373826801035,True,-1.17674986612314,0.0007005590002636,True,never sig,sig in both
Os01g0169800,Ethyelene signalling gene,-0.42728713276083,0.389243566245878,False,-0.107978833426588,1.0,False,-1.06211498302953,2.31655614656782e-07,True,-1.05335081282059,0.0001417849896043,True,never sig,sig in both
Os01g0192900,Ethyelene signalling gene,-0.46837002791614,0.725948472488713,False,-0.781243565225479,0.586635811529017,False,-1.58972268843857,6.4224803858249e-05,True,-1.58120564332416,8.6925711825915e-05,True,never sig,sig in both
Os04g0578000,Ethyelene signalling gene,-0.722406165237308,0.34752675574521,False,0.160371532219072,1.0,False,-1.53437018952403,3.04601914157136e-06,True,-1.52574755521615,0.0042794981668963,True,never sig,sig in both
Os06g0181700,Ethyelene signalling gene,-0.3991279129669,0.894447596156776,False,-0.303901089343969,1.0,False,-0.139053903374894,0.875344374290263,False,-0.129548804818765,0.877671737471547,False,never sig,never sig
Os03g0727600,Ethyelene signalling gene,0.227042505467542,0.964893709154075,False,-1.07281512559457,0.880234728735207,False,-2.07422760394182,0.0031929477794053,True,-2.06561425516248,0.0121065857747751,True,never sig,sig in both
Os06g0194000,Ethyelene signalling gene,-0.0871905541920584,0.938006119069584,False,-0.244481220522906,0.95237629610951,False,-0.520269870263497,0.0073801343574551,True,-0.51187299537336,0.0173317083791166,True,never sig,sig in both
Os05g0210100,Ethyelene signalling gene,-0.607003874233881,0.391411533834878,False,-0.360925483915006,0.975211128990137,False,-1.32178095711988,6.90400346565796e-06,True,-1.31300876515465,6.39692997189123e-05,True,never sig,sig in both
Os01g0580500,Ethyelene signalling gene,-0.543164099205068,0.497338229363699,False,-0.880440610799053,0.487353871522485,False,-1.49723833803749,1.13842025782486e-06,True,-1.48789184740112,0.0004164155353644,True,never sig,sig in both
Os06g0654300,Ethyelene signalling gene,-0.446042722620903,0.451688857017933,False,-0.165703999807666,1.0,False,-0.693946018235395,0.0037234491249697,True,-0.685124822948124,0.048370921708814,True,never sig,sig in both
Os04g0610400,Ethyelene signalling gene,0.466443379017825,0.792922155776258,False,0.252272424782158,1.0,False,0.505134757926986,0.33653584353701,False,0.51386369720371,0.376296844471068,False,never sig,never sig
Os06g0115200,Ethyelene signalling gene,-0.276398848813387,0.56564632007704,False,-0.110365521131679,1.0,False,-0.0844084028283172,0.687397344720408,False,-0.0756073009943152,0.747448107708938,False,never sig,never sig
Os09g0451400,Ethyelene signalling gene,0.875762125356272,0.299908753286428,False,0.640656395146508,0.874595912153511,False,0.435182858038926,0.277926795999873,False,0.443221406610125,0.386831510842404,False,never sig,never sig
Os02g0771600,Ethyelene signalling gene,1.94258344854406,0.146786472030442,False,0.1863040083709,1.0,False,1.14162878859589,0.101169813946822,False,1.15198864486432,0.211573009017589,False,never sig,never sig
Os07g0155600,Ethyelene signalling gene,-0.121735933981539,0.830183913062283,False,-0.158136078619933,0.983361527543636,False,0.27029337011264,0.0677897973576879,True,0.27920081827093,0.0700674484154233,True,never sig,sig in both
Os11g0572700,Ethyelene signalling gene,0.763087348586727,0.0703281146889208,True,0.0994767756227293,1.0,False,1.29859507543542,7.460905928495581e-09,True,1.3080354703326,0.0002596279594708,True,lost in v4 (DC3/DN3 added back),sig in both
Os09g0286600,Ethyelene signalling gene,0.149315866976191,0.890546430157805,False,0.332248418819108,0.868238486817946,False,0.465057735296243,0.0508592692231766,True,0.474017811738729,0.0580434133755404,True,never sig,sig in both
Os03g0324300,Ethyelene signalling gene,0.210056209233845,0.456007027368755,False,0.0598892606828017,1.0,False,0.958764063899895,8.077077402316042e-19,True,0.967799677560647,6.73138825768683e-13,True,never sig,sig in both
Os08g0537900,Ethyelene signalling gene,-0.014256750696194,1.0,False,-0.011839913323352,1.0,False,1.12015447904866,2.8843883360114904e-14,True,1.12935658586061,5.5072297820429486e-11,True,never sig,sig in both
Os05g0149400,Ethyelene signalling gene,0.77618577445696,0.317331958053422,False,1.25582837872228,0.0631141607426317,True,2.03813686543657,1.16660355016655e-09,True,2.04689656326351,1.57361724474181e-07,True,gained in v4,sig in both
Os11g0186900,Ethyelene signalling gene,-0.322648258834813,0.675602961694224,False,0.0878629270147143,1.0,False,2.60642433653106,6.285159227076298e-29,True,2.61561247311735,6.10699253506886e-16,True,never sig,sig in both
Os01g0867300,ABA repsonsive gene,0.742089342611465,0.0006466416996472,True,0.0678650682158066,1.0,False,1.58222435128475,8.99569844657768e-32,True,1.5918661233971,7.49655703922437e-07,True,lost in v4 (DC3/DN3 added back),sig in both
Os02g0704000,ABA repsonsive gene,0.434426929609348,0.755886978527809,False,0.579041302268351,0.98317071044921,False,3.78903662791257,7.94673198641677e-23,True,3.79818637518919,8.14999559961874e-13,True,never sig,sig in both
Os05g0592800,ABA repsonsive gene,0.0910173139140314,0.870243094696538,False,0.0785768734848252,1.0,False,0.114582464298788,0.423689939213861,False,0.123295435645687,0.383551301988001,False,never sig,never sig
Os07g0164900,ABA repsonsive gene,0.358080887413597,0.397974470467412,False,0.170061744900627,1.0,False,0.338791020860489,0.0660886899371132,True,0.347717372245491,0.151200252006218,False,never sig,lost in v4 (DC3/DN3 added back)
Os03g0645900,ABA repsonsive gene,0.0817271137334817,0.996316603080217,False,-0.53601203562898,1.0,False,1.58761253273035,0.0068529188334856,True,1.59996225967445,0.0308303346561194,True,never sig,sig in both
Os02g0149800,ABA repsonsive gene,0.365136245331335,0.0541679955621485,True,-0.128168166656959,1.0,False,0.2752153540463,0.0093997891271977,True,0.283751946296155,0.374791229717024,False,lost in v4 (DC3/DN3 added back),lost in v4 (DC3/DN3 added back)
Os03g0821300,ABA repsonsive gene,0.123921879909017,0.883580812354912,False,-0.0987053397553497,1.0,False,0.443058303481294,0.0185752017375863,True,0.452070718748676,0.0626989895998702,True,never sig,sig in both
Os02g0766700,ABA repsonsive gene,0.102887356464511,0.871332024882246,False,0.0870745670179171,1.0,False,0.733326918594979,2.48725685620108e-07,True,0.742230077637907,2.11455974204478e-07,True,never sig,sig in both
Os05g0213500,ABA repsonsive gene,0.237159847064344,0.202988381955953,False,0.177526165999296,0.819337183164203,False,0.778295639059594,1.9713907944527301e-19,True,0.787422184551804,8.24799722840275e-12,True,never sig,sig in both
Os05g0457200,ABA repsonsive gene,0.740528096310606,0.786289149531928,False,1.08691417586018,0.995669089319394,False,-0.0650007399445985,0.963018361271163,False,-0.0584853862498156,0.984762478063299,False,never sig,never sig
Os03g0610900,ABA repsonsive gene,-0.0077325574535936,1.0,False,-0.169818182518135,1.0,False,1.66932248003245,2.22851789063728e-08,True,1.67896588215561,1.29668962493004e-08,True,never sig,sig in both
Os07g0154100,ABA repsonsive gene,1.95436017268275,0.58550397382911,False,0.959044042727277,1.0,False,6.70083127758317,0.0001801429164379,True,6.70754774933348,0.0001803116784579,True,never sig,sig in both
Os01g0656200,ABA repsonsive gene,-0.152349868984554,0.961727811088207,False,0.560405234138884,0.987200984436457,False,-1.2445772721707,0.0049144468167683,True,-1.23714398443924,0.0243373658534878,True,never sig,sig in both
Os06g0562200,ABA repsonsive gene,-0.204443200099887,0.933120375367332,False,0.338877966179037,1.0,False,-2.22858084953108,9.59151092623239e-08,True,-2.22067323075529,3.05490740056712e-06,True,never sig,sig in both
Os10g0573400,ABA repsonsive gene,-0.519226021502883,0.503449008678484,False,-0.206633859721154,1.0,False,-1.27379993063748,1.36190228653325e-05,True,-1.26548457473527,7.58999323199071e-05,True,never sig,sig in both
Os03g0810800,ABA repsonsive gene,-0.503823006472594,0.31964935696305,False,-0.116389773586216,1.0,False,-0.666146986742084,0.0031189167264717,True,-0.657461706058719,0.0202996813236713,True,never sig,sig in both
Os03g0297600,ABA repsonsive gene,0.236537272305803,0.578642214380661,False,-0.338272679867947,0.959473161692303,False,-0.905166415278604,1.06190271225738e-09,True,-0.896336843695455,0.0027268494009092,True,never sig,sig in both
Os05g0572700,ABA repsonsive gene,1.36870346973936,,False,0.0006282470653109,1.0,False,-1.1304570384785,0.376162779712841,False,-1.12380986826593,0.420729506011077,False,never sig,never sig
Os07g0281700,ABA repsonsive gene,-1.3185286502898,0.0294657233092511,True,-0.673809782426374,0.863419728246554,False,-0.61021455043499,0.0933646948237454,True,-0.600404155105018,0.258309155641133,False,lost in v4 (DC3/DN3 added back),lost in v4 (DC3/DN3 added back)
Os09g0325700,ABA repsonsive gene,0.571395534406222,0.780013523307655,False,-0.15432682641068,1.0,False,0.761358720231165,0.192228492653415,False,0.769146073387032,0.237431063059191,False,never sig,never sig
Os01g0846300,ABA repsonsive gene,0.128896875591746,0.902373956662584,False,0.123661242142935,1.0,False,0.644397173628096,0.0026643094505109,True,0.653193043957102,0.0123255277721762,True,never sig,sig in both
Os12g0617400,ABA repsonsive gene,1.65568774160769,0.500597256729699,False,1.15846108159931,1.0,False,2.93894497918276,0.0010886584818525,True,2.94827123633004,0.0192041065567135,True,never sig,sig in both
Os07g0622000,ABA repsonsive gene,-0.111976555228455,0.874156950586786,False,0.100876608974877,1.0,False,-0.468411996717141,0.0033928793096648,True,-0.459467783437138,0.0219460043511786,True,never sig,sig in both
Os02g0799000,ABA repsonsive gene,-0.204834832286303,0.693662808091732,False,-0.0747188556141518,1.0,False,-0.0052444605292218,0.998549376600374,False,0.0038253884754489,1.0,False,never sig,never sig
Os12g0586100,ABA repsonsive gene,-0.0291710677065564,0.998466295447212,False,0.430883201981874,0.863419728246554,False,0.378270397764624,0.108764074973483,False,0.387127691886032,0.252080273866262,False,never sig,never sig
Os03g0764800,ABA repsonsive gene,-0.167233900027037,0.5254150636538,False,-0.100927332256284,1.0,False,-0.241876090801981,0.0158711870501205,True,-0.23308575894036,0.0707794522176963,True,never sig,sig in both
Os06g0211200,ABA repsonsive gene,-0.185032567938307,0.846411507494723,False,0.372533933542797,0.980199786329648,False,0.011661584554756,0.986291211550863,False,0.0210506677388349,0.979743869490942,False,never sig,never sig
Os08g0109400,Auxin responsive gene,0.826006578405622,0.0619347109150298,True,0.234036271013757,1.0,False,1.38592146657668,6.01137564809289e-09,True,1.39537678871571,6.37546321867476e-05,True,lost in v4 (DC3/DN3 added back),sig in both
Os01g0178500,Auxin responsive gene,0.200621347844371,0.614116850389737,False,-0.324191693342187,0.95685975633512,False,0.482244059173416,0.0003938263935946,True,0.49112914650824,0.0996210349455693,True,never sig,sig in both
Os01g0190300,Auxin responsive gene,1.09419847528608,0.0144688539144661,True,-0.553078666047866,1.0,False,1.21873902428326,2.79737554415222e-06,True,1.2277858152769,0.0575690632296045,True,lost in v4 (DC3/DN3 added back),sig in both
Os12g0479400,Auxin responsive gene,0.488528407489136,0.342898271678349,False,0.484235615000753,0.781300416636262,False,0.644847001837791,0.0044049287259488,True,0.653273815634884,0.0363194485665786,True,never sig,sig in both
Os03g0162000,Auxin responsive gene,0.0529765981840746,0.983807728748465,False,-0.250175097736969,1.0,False,1.03619005877901,6.29297845799521e-06,True,1.04474347849692,0.0012810225244985,True,never sig,sig in both
Os11g0523800,Auxin responsive gene,0.166653292473533,0.581889293936443,False,0.0343466605074495,1.0,False,0.591514639108504,2.41617684075773e-08,True,0.600460411560052,2.53922361853445e-06,True,never sig,sig in both
Os06g0166500,Auxin responsive gene,0.402922648715893,0.549866991735743,False,-0.0469385941726142,1.0,False,1.68562567142132,1.89600882273135e-12,True,1.69504006523637,2.83810082202627e-07,True,never sig,sig in both
Os01g0286900,Auxin responsive gene,0.0913240322699459,0.980469466462194,False,-0.294296367850087,1.0,False,0.725332394617359,0.0510846285909126,True,0.735600184104787,0.119806585771315,False,never sig,lost in v4 (DC3/DN3 added back)
Os02g0512000,Auxin responsive gene,0.196670719164284,0.846411507494723,False,-0.404240104361783,0.957181524970947,False,1.06299433385531,1.06483004206589e-05,True,1.07221855125753,0.0025468683166697,True,never sig,sig in both
Os05g0523300,Auxin responsive gene,-0.0296076835835564,0.994082291518724,False,-0.0970567412389046,1.0,False,-0.121598805998933,0.587350738422077,False,-0.113082798295433,0.620305043135399,False,never sig,never sig
Os01g0741900,Auxin responsive gene,0.0488974592955548,0.963034687031851,False,-0.185005226908089,1.0,False,-0.121673618077845,0.451922781169675,False,-0.113075691679627,0.630706069087979,False,never sig,never sig
Os08g0529000,Auxin responsive gene,0.0,1.0,False,-7.04870838239139,0.181295994133805,False,1.08870951665273,0.572338453363865,False,1.09727587463291,0.698585111003164,False,never sig,never sig
Os07g0684900,Auxin responsive gene,-1.43671544688024,0.165355586463285,False,-1.35840561338096,0.20773301629651,False,-0.0188101188096584,0.995709726331011,False,-0.0100909414498637,1.0,False,never sig,never sig
