gene_id,category,Dharia_log2FC,Dharia_padj,PTT1_log2FC,PTT1_padj,Dharia_sig,PTT1_sig
Os01g0128300,Ethyelene signalling gene,-0.611102853009479,0.467264414388531,-1.18511800791791,0.0003373826801035,False,True
Os01g0169800,Ethyelene signalling gene,-0.42728713276083,0.389243566245878,-1.06211498302953,2.31655614656782e-07,False,True
Os01g0192900,Ethyelene signalling gene,-0.46837002791614,0.725948472488713,-1.58972268843857,6.4224803858249e-05,False,True
Os04g0578000,Ethyelene signalling gene,-0.722406165237308,0.34752675574521,-1.53437018952403,3.04601914157136e-06,False,True
Os06g0181700,Ethyelene signalling gene,-0.3991279129669,0.894447596156776,-0.139053903374894,0.875344374290263,False,False
Os03g0727600,Ethyelene signalling gene,0.227042505467542,0.964893709154075,-2.07422760394182,0.0031929477794053,False,True
Os06g0194000,Ethyelene signalling gene,-0.0871905541920584,0.938006119069584,-0.520269870263497,0.0073801343574551,False,True
Os05g0210100,Ethyelene signalling gene,-0.607003874233881,0.391411533834878,-1.32178095711988,6.90400346565796e-06,False,True
Os01g0580500,Ethyelene signalling gene,-0.543164099205068,0.497338229363699,-1.49723833803749,1.13842025782486e-06,False,True
Os06g0654300,Ethyelene signalling gene,-0.446042722620903,0.451688857017933,-0.693946018235395,0.0037234491249697,False,True
Os04g0610400,Ethyelene signalling gene,0.466443379017825,0.792922155776258,0.505134757926986,0.33653584353701,False,False
Os06g0115200,Ethyelene signalling gene,-0.276398848813387,0.56564632007704,-0.0844084028283172,0.687397344720408,False,False
Os09g0451400,Ethyelene signalling gene,0.875762125356272,0.299908753286428,0.435182858038926,0.277926795999873,False,False
Os02g0771600,Ethyelene signalling gene,1.94258344854406,0.146786472030442,1.14162878859589,0.101169813946822,False,False
Os07g0155600,Ethyelene signalling gene,-0.121735933981539,0.830183913062283,0.27029337011264,0.0677897973576879,False,True
Os11g0572700,Ethyelene signalling gene,0.763087348586727,0.0703281146889208,1.29859507543542,7.460905928495581e-09,True,True
Os09g0286600,Ethyelene signalling gene,0.149315866976191,0.890546430157805,0.465057735296243,0.0508592692231766,False,True
Os03g0324300,Ethyelene signalling gene,0.210056209233845,0.456007027368755,0.958764063899895,8.077077402316041e-19,False,True
Os08g0537900,Ethyelene signalling gene,-0.014256750696194,1.0,1.12015447904866,2.8843883360114904e-14,False,True
Os05g0149400,Ethyelene signalling gene,0.77618577445696,0.317331958053422,2.03813686543657,1.1666035501665501e-09,False,True
Os11g0186900,Ethyelene signalling gene,-0.322648258834813,0.675602961694224,2.60642433653106,6.285159227076299e-29,False,True
Os01g0867300,ABA repsonsive gene,0.742089342611465,0.0006466416996472,1.58222435128475,8.99569844657768e-32,True,True
Os02g0704000,ABA repsonsive gene,0.434426929609348,0.755886978527809,3.78903662791257,7.94673198641677e-23,False,True
Os05g0592800,ABA repsonsive gene,0.0910173139140314,0.870243094696538,0.114582464298788,0.423689939213861,False,False
Os07g0164900,ABA repsonsive gene,0.358080887413597,0.397974470467412,0.338791020860489,0.0660886899371132,False,True
Os03g0645900,ABA repsonsive gene,0.0817271137334817,0.996316603080217,1.58761253273035,0.0068529188334856,False,True
Os02g0149800,ABA repsonsive gene,0.365136245331335,0.0541679955621485,0.2752153540463,0.0093997891271977,True,True
Os03g0821300,ABA repsonsive gene,0.123921879909017,0.883580812354912,0.443058303481294,0.0185752017375863,False,True
Os02g0766700,ABA repsonsive gene,0.102887356464511,0.871332024882246,0.733326918594979,2.48725685620108e-07,False,True
Os05g0213500,ABA repsonsive gene,0.237159847064344,0.202988381955953,0.778295639059594,1.9713907944527301e-19,False,True
