group,k,n,K,N,FE,FDR
Dharia Up,4,713,15,29909,11.186,0.0122
Dharia Down,0,178,15,29909,0.0,1.0
PTT1 Up,15,6830,15,29909,4.379,2.083e-08
PTT1 Down,0,6072,15,29909,0.0,1.0
