group,k,n,K,N,FE,FDR
Dharia Up,4,713,47,29909,3.57,0.195
Dharia Down,0,178,47,29909,0.0,1.0
PTT1 Up,36,6830,47,29909,3.354,1.487e-12
PTT1 Down,2,6072,47,29909,0.21,1.0
