group,k,n,K,N,FE,FDR
Dharia Up,3,713,35,29909,3.596,0.289
Dharia Down,0,178,35,29909,0.0,1.0
PTT1 Up,10,6830,35,29909,1.251,0.831
PTT1 Down,2,6072,35,29909,0.281,1.0
