transcript_id,DC1,DC2,DN1,DN2,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os03t0137350-00,51,51,28,11,86,83,104,101,17,19,52
Os03t0137400-01,2084,1962,1517,1445,2774,2996,2419,2363,851,1058,1347
Os03t0137700-01,275,195,243,219,55,59,90,146,129,250,129
Os03t0137800-01,746,737,521,666,146,192,108,413,409,753,644
Os03t0137500-01,4269,4595,3500,3866,3239,3105,2532,3278,2916,3403,3207
Os03t0137500-02,60,47,19,53,26,32,49,45,31,39,38
Os03t0137600-01,1772,1458,1666,1929,595,588,400,1976,1870,2149,1865
Os03t0138000-01,737,939,611,654,1618,1434,1266,1430,576,863,770
Os03t0138400-01,455,343,369,336,472,375,399,389,235,345,334
Os03t0138100-01,4650,5227,3012,3314,5408,6096,4342,3739,1972,2953,2816
Os03t0138700-01,29,40,39,25,378,223,245,201,65,36,120
Os03t0138900-01,171,155,65,64,39,26,7,40,2,30,22
Os03t0138500-01,1706,1764,1319,1824,313,352,545,1094,1572,2440,2152
Os03t0135150-00,0,0,7,0,0,0,0,0,0,0,0
Os03t0136400-01,0,15,0,0,0,0,0,0,0,0,0
Os03t0136450-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0137250-00,0,3,2,0,10,8,0,7,0,4,2
Os03t0134800-00,121,113,581,623,43,14,52,20,494,285,701
Os03t0134900-01,2688,2236,3105,3631,311,352,294,1009,2592,2927,3012
Os03t0135100-01,1926,1457,2834,2553,146,301,304,770,2259,1273,1650
Os03t0135200-01,2046,1761,2549,2510,185,171,241,583,1776,1925,2097
Os03t0135300-01,1819,1845,1137,1416,1382,1129,890,1658,1039,1123,1021
Os03t0135400-01,2561,2899,2562,2780,3192,3358,3097,3095,2335,1986,2316
Os03t0135550-01,27,17,24,2,17,31,13,11,14,0,2
Os03t0135600-01,544,620,335,346,960,895,586,758,219,321,296
Os03t0135700-01,4341,3451,4805,5100,859,1261,1193,2017,2053,1974,2814
Os03t0135800-01,231,299,238,296,148,170,133,164,231,178,170
Os03t0136200-01,7686,7487,6470,8581,3231,3831,3519,5690,6123,6829,7790
Os03t0136500-01,467,391,156,184,886,764,914,610,238,362,263
Os03t0136600-01,361,363,243,262,191,162,246,344,180,258,261
Os03t0136700-01,190,157,199,247,466,461,282,587,268,403,335
Os03t0136800-01,1149,1279,752,791,1822,1838,1881,1945,1192,1512,1174
Os03t0136900-01,41288,44219,42454,41815,40203,43061,41787,39056,37595,43021,48360
Os03t0136975-00,3,2,14,3,11,6,3,5,3,6,7
Os03t0137050-00,63,74,54,25,391,323,228,159,15,0,61
Os03t0137200-01,7855,8414,5377,4630,16966,14758,12580,9757,2879,5582,5666
Os03t0139400-01,499,364,304,366,537,582,609,735,233,498,372
Os03t0140100-01,56,35,42,23,59,12,8,47,8,76,33
Os03t0140200-01,0,0,0,0,0,0,0,0,0,0,0
Os03t0140200-02,777,705,591,452,1119,1046,977,1170,528,840,1144
Os03t0140300-01,0,99,0,0,63,53,32,49,0,0,12
Os03t0140400-01,184,18,147,116,416,381,131,572,53,177,154
Os03t0140551-01,6,21,0,0,5,5,3,8,0,14,3
Os03t0140650-00,35,66,38,37,108,69,76,30,0,49,27
Os03t0140500-01,650,800,586,653,847,928,837,849,400,658,582
Os03t0140500-02,18,5,6,2,29,13,22,12,1,22,17
Os03t0139100-00,15476,16163,13973,17033,11652,10936,12232,18878,19476,24871,22142
Os03t0139200-01,2884,2892,1622,1729,4180,4632,3886,3744,1455,1976,2025
Os03t0140900-00,51,42,38,22,317,344,521,140,12,0,32
Os03t0140700-01,1413,1266,693,1089,1004,962,667,1203,780,1031,1221
Os03t0141000-01,18363,18047,15502,21969,6781,7562,8675,16216,20373,26398,22718
Os03t0141700-01,403,554,507,530,154,198,152,221,87,67,114
Os03t0141200-01,2183,2108,1496,1878,840,926,871,1892,1188,1248,1622
Os03t0141800-00,40,41,75,54,7,11,34,90,53,0,84
Os03t0142200-01,3,0,9,10,5,0,0,7,3,0,0
Os03t0142600-01,81,174,80,84,9,20,25,97,69,72,86
Os03t0142500-01,360,657,165,137,766,570,525,664,233,259,351
Os03t0142800-01,9104,10214,8281,8078,8535,10117,6663,8130,7177,7499,8570
Os03t0142900-01,2397,2750,1959,1756,5417,4891,4237,5004,1790,2268,2164
Os03t0143150-00,0,0,3,5,0,0,0,6,0,3,0
Os03t0143100-01,1,5,3,5,3,0,0,6,0,3,0
Os03t0143200-01,94,126,41,49,23,18,19,53,68,78,39
Os03t0143000-02,826,1077,666,674,898,563,706,864,374,615,554
Os03t0143000-01,290,251,368,372,641,829,300,305,245,315,247
Os03t0143300-01,6472,7098,6126,6100,6917,6969,6419,6994,4983,6297,6734
Os03t0143466-00,0,0,0,0,0,0,1,0,0,0,0
Os03t0143532-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0143400-01,3140,4189,3095,3444,2415,2546,2706,4606,5451,7855,7125
Os03t0143600-01,1474,1521,983,1222,1690,1643,1267,1661,992,1207,1136
Os03t0143700-01,3382,3323,3194,2950,2142,2406,1811,2890,2224,3380,2962
Os03t0144100-00,433,525,233,323,489,667,460,365,67,185,240
Os03t0144150-00,232,299,182,149,414,407,253,191,37,135,83
Os03t0144200-01,689,772,980,582,1757,1856,672,583,437,594,392
Os03t0143800-01,5508,6462,6303,5995,6431,6870,4831,5610,3308,4896,5476
Os03t0143900-00,87,42,96,131,34,46,26,68,86,92,134
Os03t0144000-01,330,314,365,198,133,53,123,158,135,398,350
Os03t0144000-02,619,732,591,757,555,634,430,710,487,642,658
Os03t0144300-01,1137,945,727,945,371,361,414,1155,1153,1351,1819
Os03t0144500-01,690,729,425,623,88,138,252,601,512,609,735
Os03t0144700-00,149,82,45,39,117,135,88,111,62,90,79
Os03t0144800-01,1573,1480,2271,1703,697,629,650,1034,1511,1586,1869
Os03t0145050-01,730,652,911,2170,130,114,181,331,598,547,792
Os03t0145102-01,730,652,911,0,130,114,181,331,598,547,792
Os03t0145200-01,83,120,74,128,60,56,79,76,99,158,104
Os03t0145300-01,473,280,405,303,286,304,251,383,454,370,352
Os03t0145600-01,54,71,30,96,29,52,0,28,39,72,51
Os03t0145500-01,2967,3309,2746,2697,4034,4338,3518,2934,1816,2743,2664
Os03t0145751-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0145700-01,477,601,922,623,1577,1818,501,420,134,266,330
Os03t0145700-02,1647,2142,982,1261,2567,2888,2030,1510,885,1300,1022
Os03t0145900-01,432,263,151,120,489,379,376,403,96,192,130
Os03t0145800-02,3903,4141,3169,3532,3882,4009,4281,4883,3361,4100,4759
Os03t0145800-01,183,166,186,128,733,593,301,94,117,688,128
Os03t0146000-01,2436,2095,2048,2127,1829,1744,1908,2182,1848,2224,2322
Os03t0146300-01,2333,2754,2019,2542,902,1182,1437,2331,2766,3749,3376
Os03t0146400-01,1585,1550,739,902,1702,1450,844,1764,496,764,756
Os03t0146500-01,466,306,309,302,406,538,433,699,177,202,250
Os03t0146500-02,552,645,368,400,1018,680,575,780,436,639,476
Os03t0146800-01,197,167,405,305,48,28,19,33,105,144,118
Os03t0146100-03,0,0,0,0,0,0,0,0,0,0,0
Os03t0146100-01,60084,42740,62141,54363,15088,19699,19169,45554,49941,57898,66427
Os03t0146200-01,3114,815,1082,577,426,851,526,895,617,662,970
Os03t0147150-00,8,3,0,16,0,3,0,0,0,0,7
Os03t0147001-00,46,71,25,40,10,11,27,15,0,37,26
Os03t0146600-01,5412,6211,4725,4382,7954,8143,5613,4474,1905,2767,3361
Os03t0148000-01,41,45,61,66,38,31,33,134,33,78,55
Os03t0148300-00,98,66,91,111,8,0,0,38,47,53,62
Os03t0148400-01,321,351,324,397,144,191,134,242,282,323,233
Os03t0147700-02,1207,1274,780,828,1876,1867,1412,1680,908,1132,1243
Os03t0147700-01,747,636,456,883,1482,1384,1129,686,170,409,374
Os03t0147900-01,203,282,200,297,241,275,301,296,173,492,268
Os03t0148700-01,653,885,526,597,1492,1238,1296,1280,517,682,726
Os03t0148800-01,858,948,740,684,738,696,527,688,348,610,642
Os03t0149100-01,94,82,202,164,126,114,125,219,267,473,424
Os03t0149000-01,971,778,1603,1410,233,124,206,667,1570,1171,1667
Os03t0149050-00,23,5,27,24,3,2,3,6,18,1,35
Os03t0147400-01,48900,54935,19204,23614,39298,43969,34783,34510,10028,19424,14898
Os03t0149200-01,11531,12962,9576,14938,2480,3281,3949,7087,8630,9606,10638
Os03t0149700-00,18,0,29,22,0,0,0,0,13,34,7
Os03t0149400-01,816,1156,752,695,592,813,698,680,590,942,879
Os03t0149300-01,4611,4295,3441,2577,4695,4860,4874,5159,4518,5779,5546
Os03t0150200-01,20,30,32,7,0,3,0,0,0,0,0
Os03t0149800-01,973,865,898,887,436,442,536,622,489,598,564
Os03t0150901-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0150600-02,1092,1844,694,836,4766,4616,3265,2660,329,370,368
Os03t0150600-01,3241,3123,1128,1384,5843,5695,7564,5067,914,1147,1501
Os03t0150700-00,93,68,33,69,289,341,352,216,54,39,28
Os03t0150800-01,294,269,392,410,197,195,239,299,162,47,251
Os03t0151100-01,1969,1742,1213,1194,1901,2283,1734,1616,798,1281,988
Os03t0151201-01,304,225,251,123,313,361,150,73,49,41,96
Os03t0157450-00,0,0,0,0,2,3,0,10,0,7,7
Os03t0157400-02,34,36,69,72,230,260,192,232,256,404,443
Os03t0157400-01,91,162,63,0,66,45,45,74,22,33,24
Os03t0157700-02,0,10,0,0,0,0,0,0,0,0,0
Os03t0157700-01,9,13,17,0,2,6,0,0,27,0,0
Os03t0157500-01,1458,1753,1318,989,2066,2056,1451,1231,601,789,1035
Os03t0157600-00,150,146,171,133,0,34,50,93,213,240,277
Os03t0157800-01,595,575,563,458,1082,962,1598,1070,915,8,175
Os03t0157800-02,1087,1054,819,1009,1525,1679,676,1309,196,1321,1308
Os03t0158000-01,13,40,3,0,10,14,0,10,0,0,6
Os03t0157900-01,10020,10796,8111,10291,4485,5570,6311,7805,5332,7060,8676
Os03t0158200-01,5716,6196,5364,5511,5303,5655,5309,5539,4035,5854,6521
Os03t0158300-01,403,277,94,84,382,240,110,701,76,110,44
Os03t0151300-01,0,0,0,0,0,0,0,0,0,0,0
Os03t0151500-01,0,5,22,26,4,0,3,6,9,20,32
Os03t0152300-01,0,0,0,0,0,0,0,0,0,0,0
Os03t0152500-00,0,0,0,0,0,2,0,4,0,12,4
Os03t0153100-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0153900-01,0,22,0,4,151,72,61,116,0,0,0
Os03t0155566-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0156200-00,0,0,3,0,0,7,0,6,0,8,0
Os03t0156432-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0156600-01,0,0,0,0,0,5,0,0,0,0,0
Os03t0157000-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0151300-02,3179,3643,2752,2696,4895,4963,3737,3785,1526,2578,2435
Os03t0151600-02,1716,1597,1840,2304,805,856,1004,1341,1317,1785,1691
Os03t0151600-01,1,0,0,0,1,0,1,0,2,0,0
Os03t0151700-01,3472,4080,3010,3507,3509,3829,3043,3493,2395,2921,3401
Os03t0151800-02,10807,13244,10187,9683,21239,21911,21650,21025,8955,12360,14090
Os03t0151850-00,18,4,28,13,36,20,19,15,0,20,10
Os03t0151900-01,1177,1085,1353,1220,1837,1813,1398,1387,824,991,1294
Os03t0152000-01,698,305,203,548,817,332,353,419,299,579,465
Os03t0152100-01,388,314,283,227,547,542,528,445,193,134,270
Os03t0152200-00,79,178,144,79,131,187,140,183,109,151,158
Os03t0152400-01,2626,2630,2172,1993,3088,2979,2863,3133,2215,2851,3047
Os03t0152600-01,290,299,148,199,357,377,287,397,156,283,155
Os03t0152700-01,713,760,408,507,787,756,560,1062,325,663,494
Os03t0152800-01,5249,5450,4910,5290,4342,4210,3467,4039,3511,4544,3887
Os03t0152800-02,54,74,76,80,96,90,72,35,103,11,110
Os03t0152900-01,1236,1522,1441,1077,2919,2929,2394,1743,937,1405,1528
Os03t0152950-00,1,2,1,2,6,2,3,0,0,0,0
Os03t0153000-00,1357,1475,869,991,1035,1106,1043,992,1035,1507,1048
Os03t0153400-01,174,209,48,60,258,275,92,299,7,20,24
Os03t0153500-00,7,0,0,0,11,6,0,0,0,0,0
Os03t0154000-01,3207,2719,662,447,5225,6371,8158,6881,1307,1921,1738
Os03t0154100-01,579,574,455,427,381,433,420,727,466,548,685
Os03t0154300-01,8,0,0,0,0,0,24,4,0,0,0
Os03t0154700-01,32508,33181,30420,36921,13677,14703,13988,28544,31430,40211,37255
Os03t0154750-00,3,0,0,0,2,0,0,0,3,0,2
Os03t0155000-00,24,13,13,11,5,14,21,37,22,22,33
Os03t0155300-00,2902,2768,1540,2322,309,440,668,1540,1379,1000,1529
Os03t0155400-00,2,0,2,0,0,0,0,2,0,0,0
Os03t0155500-00,57,55,106,18,4,22,41,72,77,139,112
Os03t0155632-00,105,104,140,65,19,29,60,94,252,171,172
Os03t0155700-00,145,116,189,55,25,40,57,109,156,171,211
Os03t0155900-01,294,189,514,575,85,133,135,423,453,392,552
Os03t0155966-00,28,0,22,6,5,0,0,11,8,5,0
Os03t0156000-00,29,31,92,18,16,29,33,68,60,38,49
Os03t0156300-00,12,0,17,19,0,9,0,15,0,0,16
Os03t0156500-01,3121,3474,3027,2809,3618,3753,3105,3064,1784,2362,2652
Os03t0156700-01,1407,1431,1184,1454,1469,1536,1566,2591,1641,2154,2194
Os03t0157300-01,2514,2154,2180,2827,728,1009,800,1806,1520,2390,2307
Os03t0158600-00,105,97,39,41,167,184,223,164,45,59,69
Os03t0158700-01,447,432,433,387,530,497,465,453,165,258,240
Os03t0158800-01,31,57,22,23,96,129,186,64,11,13,37
Os03t0158900-00,99,136,79,66,116,139,180,173,61,53,126
Os03t0159100-01,1494,1394,1166,997,1519,1466,1199,1075,440,843,520
Os03t0159200-01,822,1127,806,795,954,1007,956,1118,700,1095,891
Os03t0159400-01,256,229,331,330,71,111,81,118,232,211,187
Os03t0159600-01,91,28,45,65,7,21,39,14,9,0,0
Os03t0159700-01,439,440,380,359,399,444,307,298,157,306,308
Os03t0160000-01,262,272,127,130,353,451,293,264,67,65,82
Os03t0159800-01,752,820,847,218,1047,953,672,1091,487,1055,682
Os03t0159800-02,734,770,629,1079,561,711,481,458,424,321,535
Os03t0159900-01,2541,1949,975,1045,3955,4143,2824,4121,555,1322,1120
Os03t0160100-01,7579,7157,5299,4521,10609,11217,9472,6907,2946,4648,4696
Os03t0158500-01,93140,84730,52073,53216,101358,110675,72180,80029,23764,34377,34125
Os03t0158550-00,16,6,4,2,13,10,2,14,2,9,3
Os03t0160300-00,19,7,21,17,0,0,3,8,16,6,4
Os03t0160502-00,0,0,0,0,1,0,1,0,0,0,0
Os03t0160400-01,896,860,1010,990,804,698,545,983,478,653,830
